26052	28526	29308
26053	28527	29309
26054	28528	29310
26055	28529	29311
26056	28530	29312
26057	28531	29313
26058	28532	29314
26059	28533	29315
26060	28534	29316
26061	28535	29317
26062	28536	29318
26063	28537	29319
26064	28538	29320
26065	28539	29321
26066	28540	29322
26067	28541	29323
26068	28542	29324
26069	28543	29325
26070	28544	29326
26071	28545	29327
26072	28546	29328
26073	28547	29329
26074	28548	29330
26075	28549	29331
26076	28550	29332
26077	28551	29333
26078	28552	29334
26079	28553	29335
26080	28554	29336
26081	28555	29337
26082	28556	29338
26083	28557	29339
26084	28558	29340
26085	28559	29341
26086	28560	29342
26087	28561	29343
26088	28562	29344
26089	28563	29345
26090	28564	29346
26091	28565	29347
26092	28566	29348
26093	28567	29349
26094	28568	29350
26095	28569	29351
26096	28570	29352
26097	28571	29353
26098	28572	29354
26099	28573	29355
26100	28574	29356
26101	28575	29357
26102	28576	29358
26103	28577	29359
26104	28578	29360
26105	28579	29361
26106	28580	29362
26107	28581	29363
26108	28582	29364
26109	28583	29365
26110	28584	29366
26111	28585	29367
26112	28586	29368
26113	28587	29369
26114	28588	29370
26115	28589	29371
26116	28590	29372
26117	28591	29373
26118	28592	29374
26119	28593	29375
26120	28594	29376
26121	28595	29377
26122	28596	29378
26123	28597	29379
26124	28598	29380
26125	28599	29381
26126	28600	29382
26127	28601	29383
26128	28602	29384
26129	28603	29385
26130	28604	29386
26131	28605	29387
26132	28606	29388
26133	28607	29389
26134	28608	29390
26135	28609	29391
26136	28610	29392
26137	28611	29393
26138	28612	29394
26139	28613	29395
26140	28614	29396
26141	28615	29397
26142	28616	29398
26143	28617	29399
26144	28618	29400
26145	28619	29401
26146	28620	29402
26147	28621	29403
26148	28622	29404
26149	28623	29405
26150	28624	29406
26151	28625	29407
26152	28626	29408
26153	28627	29409
26154	28628	29410
26155	28629	29411
26156	28630	29412
26157	28631	29413
26158	28632	29414
26159	28633	29415
26160	28634	29416
26161	28635	29417
26162	28636	29418
26163	28637	29419
26164	28638	29420
26165	28639	29421
26166	28640	29422
26167	28641	29423
26168	28642	29424
26169	28643	29425
26170	28644	29426
26171	28645	29427
26172	28646	29428
26173	28647	29429
26174	28648	29430
26175	28649	29431
26176	28650	29432
26177	28651	29433
26178	28652	29434
26179	28653	29435
26180	28654	29436
26181	28655	29437
26182	28656	29438
26183	28657	29439
26184	28658	29440
26185	28659	29441
26186	28660	29442
26187	28661	29443
26188	28662	29444
26189	28663	29445
26190	28664	29446
26191	28665	29447
26192	28666	29448
26193	28667	29449
26194	28668	29450
26195	28669	29451
26196	28670	29452
26197	28671	29453
26198	28672	29454
26199	28673	29455
26200	28674	29456
26201	28675	29457
26202	28676	29458
26203	28677	29459
26204	28678	29460
26205	28679	29461
26206	28680	29462
26207	28681	29463
26208	28682	29464
26209	28683	29465
26210	28684	29466
26211	28685	29467
26212	28686	29468
26213	28687	29469
26214	28688	29470
26215	28689	29471
26216	28690	29472
26217	28691	29473
26218	28692	29474
26219	28693	29475
26220	28694	29476
26221	28695	29477
26222	28696	29478
26223	28697	29479
26224	28698	29480
26225	28699	29481
26226	28700	29482
26227	28701	29483
26228	28702	29484
26229	28703	29485
26230	28704	29486
26231	28705	29487
26232	28706	29488
26233	28707	29489
26234	28708	29490
26235	28709	29491
26236	28710	29492
26237	28711	29493
26238	28712	29494
26239	28713	29495
26240	28714	29496
26241	28715	29497
26242	28716	29498
26243	28717	29499
26244	28718	29500
26245	28719	29501
26246	28720	29502
26247	28721	29503
26248	28722	29504
26249	28723	29505
26250	28724	29506
26251	28725	29507
26252	28726	29508
26253	28727	29509
26254	28728	29510
26255	28729	29511
26256	28730	29512
26257	28731	29513
26258	28732	29514
26259	28733	29515
26260	28734	29516
26261	28735	29517
26262	28736	29518
26263	28737	29519
26264	28738	29520
26265	28739	29521
26266	28740	29522
26267	28741	29523
26268	28742	29524
26269	28743	29525
26270	28744	29526
26271	28745	29527
26272	28746	29528
26273	28747	29529
26274	28748	29530
26275	28749	29531
26276	28750	29532
26277	28751	29533
26278	28752	29534
26279	28753	29535
26280	28754	29536
26281	28755	29537
26282	28756	29538
26283	28757	29539
26284	28758	29540
26285	28759	29541
26286	28760	29542
26287	28761	29543
26288	28762	29544
26289	28763	29545
26290	28764	29546
26291	28765	29547
26292	28766	29548
26293	28767	29549
26294	28768	29550
26295	28769	29551
26296	28770	29552
26297	28771	29553
26298	28772	29554
26299	28773	29555
26300	28774	29556
26301	28775	29557
26302	28776	29558
26303	28777	29559
26304	28778	29560
26305	28779	29561
26306	28780	29562
26307	28781	29563
26308	28782	29564
26309	28783	29565
26310	28784	29566
26311	28785	29567
26312	28786	29568
26313	28787	29569
26314	28788	29570
26315	28789	29571
26316	28790	29572
26317	28791	29573
26318	28792	29574
26319	28793	29575
26320	28794	29576
26321	28795	29577
26322	28796	29578
26323	28797	29579
26324	28798	29580
26325	28799	29581
26326	28800	29582
26327	28801	29583
26328	28802	29584
26329	28803	29585
26330	28804	29586
26331	28805	29587
26332	28806	29588
26333	28807	29589
26334	28808	29590
26335	28809	29591
26336	28810	29592
26337	28811	29593
26338	28812	29594
26339	28813	29595
26340	28814	29596
26341	28815	29597
26342	28816	29598
26343	28817	29599
26344	28818	29600
26345	28819	29601
26346	28820	29602
26347	28821	29603
26348	28822	29604
26349	28823	29605
26350	28824	29606
26351	28825	29607
26352	28826	29608
26353	28827	29609
26354	28828	29610
26355	28829	29611
26356	28830	29612
26357	28831	29613
26358	28832	29614
26359	28833	29615
26360	28834	29616
26361	28835	29617
26362	28836	29618
26363	28837	29619
26364	28838	29620
26365	28839	29621
26366	28840	29622
26367	28841	29623
26368	28842	29624
26369	28843	29625
26370	28844	29626
26371	28845	29627
26372	28846	29628
26373	28847	29629
26374	28848	29630
26375	28849	29631
26376	28850	29632
26377	28851	29633
26378	28852	29634
26379	28853	29635
26380	28854	29636
26381	28855	29637
26382	28856	29638
26383	28857	29639
26384	28858	29640
26385	28859	29641
26386	28860	29642
26387	28861	29643
26388	28862	29644
26389	28863	29645
26390	28864	29646
26391	28865	29647
26392	28866	29648
26393	28867	29649
26394	28868	29650
26395	28869	29651
26396	28870	29652
26397	28871	29653
26398	28872	29654
26399	28873	29655
26400	28874	29656
26401	28875	29657
26402	28876	29658
26403	28877	29659
26404	28878	29660
26405	28879	29661
26406	28880	29662
26407	28881	29663
26408	28882	29664
26409	28883	29665
26410	28884	29666
26411	28885	29667
26412	28886	29668
26413	28887	29669
26414	28888	29670
